east,north,height,cat
8.94447781,39.35139754,21.41658279,2
8.944475,39.35140709,21.36271755,2
8.94447219,39.35141665,21.30759533,2
8.94446938,39.35142621,21.25121614,2
8.94446657,39.35143577,21.19357998,2
8.94446376,39.35144532,21.1382556,2
8.94446095,39.35145488,21.119938,2
8.94445814,39.35146444,21.10287736,2
8.94445533,39.351474,21.0870737,2
8.94445252,39.35148355,21.07252702,2
8.94444971,39.35149311,21.05923731,2
8.9444469,39.35150267,21.04720457,2
8.94444409,39.35151223,21.03642881,2
8.94444129,39.35152178,21.02691002,2
8.94443848,39.35153134,21.0186482,2
8.94443567,39.3515409,21.01164336,2
8.94443286,39.35155046,21.00589549,2
8.94443005,39.35156001,21.0014046,2
8.94442724,39.35156957,21,2
8.94442443,39.35157913,21,2
8.94442162,39.35158869,21,2
8.94441881,39.35159824,21,2
8.944416,39.3516078,21,2
8.94441327,39.3516174,21,2
8.94441054,39.351627,21,2
8.94440781,39.3516366,21,2
8.94440508,39.3516462,21,2
8.94440235,39.3516558,21,2
8.94439962,39.3516654,21,2
8.94439689,39.351675,21,2
8.94439416,39.3516846,21,2
8.94439143,39.3516942,21,2
8.9443887,39.3517038,21,2
8.94438597,39.3517134,21,2
8.94438324,39.351723,21,2
8.94438051,39.3517326,21,2
8.94437778,39.3517422,21,2
8.94437505,39.3517518,21,2
8.94437232,39.3517614,21,2
8.94436959,39.351771,21,2
8.94436686,39.3517806,21,2
8.94436413,39.3517902,21,2
8.9443614,39.3517998,21,2
8.94435867,39.3518094,21,2
8.94435594,39.351819,21,2
8.94435321,39.3518286,21,2
8.94435048,39.3518382,21,2
8.94434775,39.3518478,21,2
8.94434502,39.3518574,21,2
8.94434229,39.351867,21,2
8.94433956,39.3518766,21,2
8.94433683,39.3518862,21,2
8.9443341,39.3518958,21,2
8.94433137,39.3519054,21,2
8.94432864,39.351915,21,2
8.94432591,39.3519246,21,2
8.94432318,39.3519342,21,2
8.94432045,39.3519438,21,2
8.94431772,39.3519534,21,2
8.94431499,39.351963,21,2
8.94431226,39.3519726,21,2
8.94430953,39.3519822,21,2
8.9443068,39.3519918,21,2
8.94430407,39.3520014,21,2
8.94430134,39.352011,21,2
8.94429861,39.3520206,21,2
8.94429588,39.3520302,21,2
8.94429315,39.3520398,21,2
